"user_id","manipulation","age_raw","age_group","body_type","edu_level","height_in_raw","ethnicity","black","asian","natam","mideast","white","latin","indian","other","pacisl","match_rcvd_cnt_3_2","match_sent_cnt_3_2","match_rcvd_cnt_2_2","match_sent_cnt_2_2","match_rcvd_cnt_1_2","match_sent_cnt_1_2","hotvote_rcvd_bool_2","voteviewmsg_rcvd_cnt_2","voteview_sent_cnt_2","msg_rcvd_cnt_2","msg_sent_cnt_2","view_rcvd_cnt_2","view_sent_cnt_2","match_sent_cnt_2","match_rcvd_cnt_2","match_rcvd_cnt_3_1","match_sent_cnt_3_1","match_rcvd_cnt_2_1","match_sent_cnt_2_1","match_rcvd_cnt_1_1","match_sent_cnt_1_1","view_sent_cnt_1","view_rcvd_cnt_1","msg_sent_cnt_1","msg_rcvd_cnt_1","match_sent_cnt_1","match_rcvd_cnt_1","atrct_other_msg","atrct_other_msg_min","atrct_other_msg_max","atrct_own_msg","match_rcvd_cnt_3_4","match_rcvd_cnt_3_3","match_sent_cnt_3_4","match_sent_cnt_3_3","match_rcvd_cnt_2_4","match_rcvd_cnt_2_3","match_sent_cnt_2_4","match_sent_cnt_2_3","match_rcvd_cnt_1_4","match_rcvd_cnt_1_3","match_sent_cnt_1_4","match_sent_cnt_1_3","match_sent_cnt_3","match_rcvd_cnt_3","atrct_own_msg_tert","atrct_other_msg_tert"
"06a667777df9496cb9c153902a4691a2",0,31.170431211499,"30 to 39 ages","unknown","unknown",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,0,TRUE,9,219,28,10,270,219,3,5,2,0,1,2,0,0,165,221,6,19,0,2,2.95384615384615,0,312,19,0,2,0,0,1,1,0,1,2,0,0,0,1,4,"mid","mid"
"0ea69373bf8b2022acdef6bbdf84ddc5",1,21.2566735112936,"18 to 24 ages","unknown","unknown",66.141768,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,0,0,0,TRUE,2,11,18,2,60,11,0,3,0,0,0,0,0,0,8,56,0,9,0,0,3.671875,0,46,9,0,0,0,0,1,0,0,0,0,0,0,0,2,2,"low","mid"
"7311c615df4d987843257b664c0e3b93",1,22.8418891170431,"18 to 24 ages","Average","unknown",66.92917,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,4,0,TRUE,14,54,38,15,139,54,0,12,0,0,0,0,5,1,21,159,15,42,1,10,5.69014084507042,0,412,42,0,0,0,0,7,3,0,0,0,1,0,0,0,0,"mid","high"
"e508441a444361d05e212f3b9f2709a2",1,36.3394934976044,"30 to 39 ages","unknown","PostGrad",63.779562,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,0,0,TRUE,15,263,54,22,223,263,3,6,1,0,2,1,0,0,22,4,1,1,0,1,2,2,2,1,1,0,0,0,1,1,0,0,1,0,0,0,0,2,"low","low"
"90108529de2a877325e7c0ede2078251",0,28.2573579739904,"25 to 29 ages","unknown","unknown",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,4,TRUE,0,0,6,0,38,0,0,0,0,0,0,0,3,5,108,400,27,122,9,4,2.82959048877147,0,174,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"high","mid"
"23be4826502ebc1f38104925aca3b9ad",1,20.1724845995893,"18 to 24 ages","unknown","unknown",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,5,0,TRUE,0,0,3,0,18,0,0,1,0,0,0,0,5,0,5,111,14,18,0,10,2.1875,0,28,18,11,0,0,0,0,0,0,0,0,0,0,0,0,11,"mid","low"
"2ba6e8a6e4bbedb06f57a82af6ee66b6",0,25.5906913073238,"25 to 29 ages","unknown","unknown",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,TRUE,10,190,21,8,290,190,1,6,0,0,0,0,3,1,356,500,8,56,1,6,2.33061889250814,0,74,56,0,2,0,0,1,4,1,0,0,2,0,0,0,3,"high","low"
"0fa0eb3ef067e3fb3a2d36595ccd7f35",1,39.337440109514,"30 to 39 ages","unknown","unknown",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,TRUE,0,8,3,0,18,8,0,0,0,0,0,0,1,0,13,36,4,6,0,1,2.1864406779661,0,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low","low"
"15005d09fdf8b1fe41c5f17856bbe34c",0,43.170431211499,"40 to 49 ages","unknown","University",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,TRUE,0,0,4,0,8,0,0,0,0,0,0,0,0,0,13,38,5,17,1,1,3.9079754601227,0,83,17,3,2,1,0,0,0,0,0,0,1,0,1,1,5,"mid","mid"
"de133870507b6b80cf437521ff0a5cb8",0,26.3381245722108,"25 to 29 ages","unknown","unknown",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,TRUE,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low","low"
